nationality_en;nationality_es;photo_locality;photo_country_en;photo_country_es;date
Spain;España;País Vasco ;Spain;España;01/08/2015
Spain;España;Barajas. Madrid ;Spain;España;01/08/2015
Brazil;Brasil;Palmas, Tocantins ;Brazil;Brasil;
Denmark;Dinamarca;Cuzco ;Peru;Perú;01/09/2014
Denmark;Dinamarca;Cuzco ;Peru;Perú;01/09/2014
Turkey;Turquía;Istanbul Çatladıkapı;Turkey;Turquía;01/10/2016
Turkey;Turquía;Istanbul Çatladıkapı;Turkey;Turquía;01/10/2016
Turkey;Turquía;Istanbul Çatladıkapı;Turkey;Turquía;01/10/2016
Spain;España;Monte Gurugú ;Morocco;Marruecos;01/04/2014
Mexico;México;Tenochtitlan ;Mexico;México;
Mexico;México;Tenochtitlan ;Mexico;México;
Mexico;México;Tenochtitlan ;Mexico;México;
Uganda;Uganda;Kampala;Uganda;Uganda;2015
Uganda;Uganda;Kampala ;Uganda;Uganda;2015
Uganda;Uganda;Kampala ;Uganda;Uganda;2016
Mozambique;Mozambique;Maputo ;Mozambique;Mozambique;01/12/2014
Spain;España;Berja, Almería;Spain;España;2015
Spain;España;Berja, Almería;Spain;España;2015
Spain;España;Berja, Almería;Spain;España;2015
Turkey;Turquía;Eminönü/İstanbu;Turkey;Turquía;01/02/2016
Turkey;Turquía;Çankırı;Turkey;Turquía;01/09/2016
Netherlands;Holanda;Muthemba district, Tete;Mozambique;Mozambique;01/09/2016
Netherlands;Holanda;Muthemba district, Tete;Mozambique;Mozambique;01/09/2016
Netherlands;Holanda;Muthemba district, Tete;Mozambique;Mozambique;01/09/2016
Spain;España;Cantel ;Guatemala;Guatemala;01/10/2016
Spain;España;Cantel ;Guatemala;Guatemala;01/09/2016
France;Francia;Tibet ;China;China;01/07/2016
France;Francia;Barbacha ;Algeria;Argelia;01/08/2013
France;Francia;China;China;China;01/05/2016
Argentina;Argentina;Buenos Aires ;Argentina;Argentina;2016
Turkey;Turquía;Ankara ;Turkey;Turquía;
Turkey;Turquía;Ankara ;Turkey;Turquía;
Turkey;Turquía;Ankara ;Turkey;Turquía;
Turkey;Turquía;Tire, İzmir;Turkey;Turquía;01/08/2016
Turkey;Turquía;Tire, İzmir;Turkey;Turquía;01/08/2016
