photo_country_en,cnt
Spain,56
India,54
Turkey,46
Brazil,44
Peru,40
Mexico,31
Morocco,29
Colombia,25
Bolivia,22
Argentina,20
Kenya,20
Chile,14
Cuba,14
Italy,13
Nepal,11
Guatemala,11
Vietnam,10
Portugal,9
Haiti,9
Ghana,9
Lebanon,8
Burkina Faso,8
Mozambique,8
Indonesia,8
Thailand,7
Venezuela,7
South Africa,7
Senegal,7
Rwanda,6
Cambodia,5
Philippines,5
Ecuador,5
Dominican Republic,5
China,5
USA,4
Angola,4
Palestine,4
Cyprus,4
Bulgaria,3
Switzerland,3
Nigeria,3
Nicaragua,3
Sierra Leone,3
Namibia,3
Slovakia,3
Bosnia Herzegovina,3
Mongolia,3
Colombia ,3
Mauritius,3
Mali,3
DR Congo,3
Egypt,3
El salvador,3
Equatorial Guinea ,3
Uganda,3
Georgia,3
Cape Verde,3
Albania,3
Honduras,3
Tunisia,3
Congo,3
Sri Lanka,2
Greece,2
Tanzania,2
Lao,2
West Bank,1
Togo,1
Uruguay,1
Taiwan,1
Japan,1
Romania,1
Panama,1
Myanmar,1
Algeria,1
Iran,1
Hungary,1
Germany,1
Gaza,1
Ethiopia,1
Czech Republic,1
Costa Rica,1
Burundi,1
Benin,1
Zimbabwe,1
